gate,facility,gas_x,gas_y,sink_x,sink_y,consumer_x,consumer_y,d_gas_km,d_h2_km,d_total_weighted,storage_type,storage_potential
sink,Songliao Basin,1461122.453710126,5563496.817884643,1391455.6105226267,5788026.893679694,1393064.015854143,5798553.906100129,235.08982108173728,10.649176409959257,245738.99749169656,DSA,30.05699921
sink,Songliao Basin,1461122.453710126,5563496.817884643,1396241.8390856283,5788301.08854481,1400788.0994199566,5795005.802961753,233.9796022329777,8.100720859296665,242080.32309227437,DSA,36.19990158
sink,Songliao Basin,1461122.453710126,5563496.817884643,1401028.1760022768,5788576.044111207,1404661.4614440338,5789561.243150309,232.96347415845491,3.7644893741289387,236727.96353258385,DSA,36.19990158
sink,Songliao Basin,1461122.453710126,5563496.817884643,1405814.6115477618,5788851.756712458,1405244.643174596,5789710.275973203,232.0426811143705,1.0304946712520213,233073.17578562253,DSA,38.9776001
sink,Songliao Basin,1461122.453710126,5563496.817884643,1410601.156727621,5789128.229063624,1405244.643174596,5789710.275973203,231.2183711546572,5.388043805379947,236606.41496003716,DSA,38.9776001
sink,Songliao Basin,1461122.453710126,5563496.817884643,1415387.8015437236,5789405.458506631,1420487.4579615241,5790869.754442876,230.49158838546884,5.3057193827528835,235797.30776822174,DSA,38.9776001
sink,Songliao Basin,1461122.453710126,5563496.817884643,1420174.5499901692,5789683.445957693,1420710.265407435,5790007.612843282,229.86326704829412,0.6261590676562538,230489.4261159504,DSA,38.9776001
sink,Songliao Basin,1461122.453710126,5563496.817884643,1424961.399056453,5789962.190526632,1426269.0401135471,5787767.446797354,229.33422526858234,2.554765189092948,231888.9904576753,DSA,41.75540161
sink,Songliao Basin,1461122.453710126,5563496.817884643,1429748.359721471,5790241.694946254,1429814.2211926065,5793288.560512105,228.905161687748,3.0475773180923023,231952.73900584033,DSA,41.75540161
sink,Songliao Basin,1461122.453710126,5563496.817884643,1434535.4149676394,5790521.954676953,1434434.7834503902,5789891.625978866,228.5766465863514,0.6383110291202322,229214.95761547162,DSA,41.75540161
sink,Songliao Basin,1461122.453710126,5563496.817884643,1439322.5830289684,5790802.973240424,1440491.2503096845,5790554.954411971,228.34912442210455,1.1946951712815286,229543.81959338608,DSA,41.75540161
sink,Songliao Basin,1461122.453710126,5563496.817884643,1444109.860872633,5791084.749734146,1441074.3264289573,5790707.787936017,228.22290647213376,3.0588510189269416,231281.7574910607,DSA,44.53310013
sink,Songliao Basin,1461122.453710126,5563496.817884643,1448897.2381920225,5791367.282427466,1453442.227285785,5795807.398448153,228.19816937352059,6.353861514039139,234552.03088755973,DSA,45.6216011
sink,Songliao Basin,1461122.453710126,5563496.817884643,1453684.7262064691,5791650.57303265,1453442.227285785,5795807.398448153,228.27495652952305,4.163892801394705,232438.84933091776,DSA,46.75350189
sink,Songliao Basin,1461122.453710126,5563496.817884643,1458472.314870561,5791934.61875777,1459094.0530431871,5786250.904823319,228.45317267138083,5.717618599030265,234170.7912704111,DSA,45.6216011
sink,Songliao Basin,1461122.453710126,5563496.817884643,1463260.0148446574,5792219.423389802,1467878.1937692047,5797804.962083655,228.73259373485126,7.247469839859219,235980.06357471048,DSA,45.6216011
sink,Songliao Basin,1461122.453710126,5563496.817884643,1468047.8236157394,5792504.983912057,1467878.1937692047,5797804.962083655,229.11285615514785,5.302692043127946,234415.54819827582,DSA,46.71680069
sink,Songliao Basin,1461122.453710126,5563496.817884643,1472835.7375655829,5792791.301420867,1468460.5007402631,5797960.7007011,229.59346941675537,6.772398850931676,236365.86826768704,DSA,46.71680069
sink,Songliao Basin,1461122.453710126,5563496.817884643,1477623.7611675663,5793078.374747026,1468460.5007402631,5797960.7007011,230.17381345227056,10.382795788245323,240556.60924051589,DSA,47.80530167
sink,Songliao Basin,1461122.453710126,5563496.817884643,1482411.891066514,5793366.20393821,1488833.137290483,5794224.939577291,230.85314550076146,6.478412611640673,237331.55811240213,DSA,46.71680069
sink,Songliao Basin,1461122.453710126,5563496.817884643,1487200.1311707236,5793654.789885629,1488833.137290483,5794224.939577291,231.63060535547925,1.7296761714477404,233360.281526927,DSA,46.71680069
sink,Songliao Basin,1461122.453710126,5563496.817884643,1491988.485661667,5793944.132456468,1489648.845925686,5793523.512095848,232.50521869798877,2.3771486242871287,234882.3673222759,DSA,45.02759933
sink,Songliao Basin,1461122.453710126,5563496.817884643,1496776.9441708915,5794234.2297772085,1501892.1883053489,5792242.4441828,233.47590012011182,5.489347175137751,238965.24729524957,DSA,48.14160156
sink,Songliao Basin,1461122.453710126,5563496.817884643,1501565.5175802521,5794525.084635139,1501892.1883053489,5792242.4441828,234.54147064632687,2.3058970482853396,236847.3676946122,DSA,46.45240021
sink,Songliao Basin,1461122.453710126,5563496.817884643,1506354.196071093,5794816.693066126,1502475.0850757782,5792401.790907936,235.70064737073977,4.56938229387744,240270.02966461724,DSA,46.45240021
sink,Songliao Basin,1461122.453710126,5563496.817884643,1511142.9905144444,5795109.057866127,1516783.0747641327,5801876.77880114,236.9520707050964,8.809801189459236,245761.87189455563,DSA,43.67470169
sink,Songliao Basin,1461122.453710126,5563496.817884643,1515931.8975069853,5795402.179033123,1516783.0747641327,5801876.77880114,238.29429632017667,6.530309707747111,244824.6060279238,DSA,40.89699936
