lat,lon,storage_type,storage_potential,pga_score,fault_score,site_vulnerability,srf_a_tectonic,risk_category_a,srf_b_geotechnical,risk_category_b,srf_c_shaking,risk_category_c
48.79930462,125.4245563,DSA,15.97159958,0.8500225238041821,2.685927826237875,9.38050250538146,3.474071171336484,Moderate,4.629395576921832,Moderate,2.2538421126920176,Low
48.79039583,125.4907753,DSA,15.97159958,0.8157031210174709,3.929775742364829,10.0,4.209598807487655,Moderate,5.112236396879954,Moderate,2.668354595319931,Low
48.78145678,125.5569758,DSA,15.97159958,0.7992959073772964,4.593996204283486,10.0,4.536786874354932,Moderate,5.238517603807615,Moderate,2.8577764057114234,Low
48.77248749,125.6231579,DSA,15.97159958,0.7944523645530055,5.11215378754153,10.0,4.794412603136667,Moderate,5.3402117033295085,Moderate,3.0103175549942622,Moderate
48.76348796,125.6893213,DSA,15.97159958,0.7848432524597186,5.449141753827781,10.0,4.960023852651806,Moderate,5.403765651749444,Moderate,3.1056484776241655,Moderate
48.75445821,125.7554662,DSA,15.97159958,0.790774379937699,5.629685645708761,9.581557132514478,4.968386563338585,Moderate,5.274869734122623,Moderate,3.1215260349266956,Moderate
48.74539823,125.8215923,DSA,15.97159958,0.798767793294298,2.169586328727056,9.424673874354848,3.209358277222787,Moderate,4.523293932805069,Moderate,2.0726039620301804,Low
48.73630804,125.8876997,DSA,15.97159958,0.806251697564613,2.177777087986669,8.774428393068765,3.0856497318764715,Moderate,4.2678274538506855,Moderate,2.014526984241645,Low
48.72718766,125.9537884,DSA,15.97159958,0.8272292338627556,2.185989702210391,8.645587431052222,3.0702811074744667,Moderate,4.2263246064080695,Moderate,2.016693194085993,Low
48.71803708,126.0198582,DSA,15.97159958,0.8359014122186753,2.1942291545316275,9.24815180119144,3.1975153611697045,Moderate,4.472467116270372,Moderate,2.0846247738098374,Low
48.70885632,126.085909,DSA,15.97159958,0.8660331119694984,2.202490530339194,10.0,3.3610551987604467,Moderate,4.786911350855638,Moderate,2.180367026283457,Low
48.69964539,126.151941,DSA,15.97159958,0.879864488994968,2.2107751376706424,10.0,3.3693469155338116,Moderate,4.794100823132116,Moderate,2.1911512346981734,Low
48.69040429,126.2179539,DSA,15.97159958,0.9104567121450666,2.219084111343756,10.0,3.3826790693153983,Moderate,4.807999507126778,Moderate,2.211999260690167,Low
48.68113305,126.2839478,DSA,15.97159958,0.9448433572729996,2.227416365371054,10.0,3.397161189867427,Moderate,4.8234206159834105,Moderate,2.235130923975116,Low
48.67183166,126.3499226,DSA,15.97159958,0.9820122347786736,2.235772753507652,10.0,3.412490047187428,Moderate,4.839959444613,Moderate,2.2599391669194997,Low
48.66250013,126.4158782,DSA,15.97159958,1.0248276616576943,2.246064762684133,10.0,3.4304806798393748,Moderate,4.859144017199904,Moderate,2.2887160257998564,Low
