Long,Lat,Vs30
109.7323621,18.78129103,516.92059
109.7766034,18.77873762,491.696556
109.8208416,18.77616054,470.1970774
109.8650769,18.77355977,444.8006233
109.909309,18.77093534,427.0146064
109.953538,18.76828723,454.3721198
109.9977638,18.76561546,467.2861884
110.0419865,18.76292003,453.0231079
110.086206,18.76020094,423.3445647
110.1304223,18.7574582,372.7543048
110.1746353,18.7546918,311.6496676
110.218845,18.75190177,281.904553
110.2630514,18.74908809,269.7096408
110.3072545,18.74625077,257.9627029
110.3514542,18.74338982,263.8332165
107.7847376,18.91236934,407.2563209
107.8291098,18.91085982,421.1579504
107.8734801,18.90932646,409.8678102
107.9178486,18.90776927,418.8103632
107.9622153,18.90618825,427.7529162
108.0065801,18.90458341,411.8384907
108.0509429,18.90295474,392.0664837
108.0953038,18.90130224,372.2944766
108.1396627,18.89962593,375.5154598
108.1840197,18.89792579,380.7573146
108.2283746,18.89620184,385.9991693
108.2727274,18.89445408,391.241024
108.3170781,18.89268251,396.4828787
108.3614268,18.89088713,398.4752653
108.4057733,18.88906794,394.3893736
108.4501176,18.88722496,390.3034819
108.4944597,18.88535817,386.2175901
108.5387996,18.88346759,382.1316984
108.5831372,18.88155321,378.0458066
108.6274726,18.87961504,375.4363619
108.6718056,18.87765308,376.2143007
108.7161363,18.87566734,417.6026027
108.7604646,18.87365781,534.1806367
108.8047905,18.8716245,614.667421
108.849114,18.86956742,651.9438888
108.8934351,18.86748657,658.5589428
108.9377537,18.86538194,680.6066118
108.9820697,18.86325355,705.8306418
109.0263833,18.86110139,705.1002968
109.0706942,18.85892547,678.7162381
109.1150026,18.85672579,671.5529333
109.1593083,18.85450236,705.9878121
109.2036115,18.85225518,726.8781223
109.2479119,18.84998425,582.2283042
109.2922096,18.84768957,432.2629011
109.3365046,18.84537115,457.6907437
109.3807968,18.843029,531.744039
109.4250863,18.84066311,557.5293925
109.4693729,18.83827349,551.7951862
109.5136567,18.83586014,539.3016521
109.5579376,18.83342307,531.3632774
109.6022156,18.83096228,524.1827884
109.6464907,18.82847777,523.406399
109.6907628,18.82596955,512.9389624
109.735032,18.82343762,497.9389404
109.7792981,18.82088199,480.941126
109.8235612,18.81830265,460.071882
109.8678212,18.81569962,444.2524625
109.9120782,18.81307289,430.7977889
109.956332,18.81042247,440.8308596
110.0005827,18.80774837,432.3699937
110.0448301,18.80505058,435.436093
110.0890744,18.80232912,416.6595033
110.1333155,18.79958398,364.0258214
110.1775533,18.79681517,325.7727556
110.2217878,18.79402269,322.1261391
110.266019,18.79120656,330.3527925
110.3102468,18.78836676,307.2077847
110.3544713,18.78550331,261.6971511
110.3986924,18.78261621,263.0935114
110.44291,18.77970547,261.8849005
107.6975124,18.95755674,401.2987899
107.7419131,18.95609361,404.2144168
107.7863121,18.95460663,413.1569698
107.8307093,18.95309579,422.0995229
107.8751047,18.95156109,421.0811946
107.9194982,18.95000254,401.3091876
107.9638899,18.94842014,381.5371805
108.0082797,18.94681389,373.1202261
108.0526676,18.9451838,378.3620808
108.0970535,18.94352986,383.6039355
108.1414375,18.94185208,388.8457903
108.1858194,18.94015046,394.087645
108.2301993,18.938425,399.3294997
108.2745772,18.93667571,395.3903498
108.3189529,18.93490259,391.3044581
108.3633266,18.93310564,387.2185664
108.407698,18.93128486,383.1326746
108.4520674,18.92944027,379.0467829
108.4964345,18.92757185,375.2003259
108.5407993,18.92567961,375.9782647
108.585162,18.92376356,376.7562034
108.6295223,18.92182369,377.5341422
108.6738803,18.91986002,379.0657297
108.718236,18.91787254,426.6326247
108.7625893,18.91586126,504.1862718
108.8069402,18.91382618,569.5492144
108.8512886,18.91176729,640.2744454
108.8956346,18.90968462,668.6789528
108.9399782,18.90757815,691.2471477
108.9843192,18.9054479,696.5560158
109.0286577,18.90329386,702.0437438
109.0729936,18.90111604,696.2468401
109.1173269,18.89891444,692.2613219
109.1616576,18.89668907,715.8687999
109.2059856,18.89443992,701.7685298
109.2503109,18.892167,609.5214767
109.2946336,18.88987032,459.5560736
109.3389535,18.88754988,496.3129275
109.3832706,18.88520568,563.2806128
109.427585,18.88283772,525.5505659
109.4718965,18.88044602,498.841258
109.5162052,18.87803056,495.4437969
109.560511,18.87559136,491.7236082
109.6048139,18.87312842,535.1471537
109.6491138,18.87064174,528.9400888
109.6934108,18.86813133,516.0596601
109.7377049,18.86559719,498.2504679
109.7819959,18.86303932,479.4222308
109.8262838,18.86045773,455.1346224
109.8705687,18.85785243,438.4043537
109.9148505,18.8552234,434.6564623
109.9591292,18.85257067,420.585153
110.0034047,18.84989423,407.1397251
110.047677,18.84719409,404.5919702
110.0919461,18.84447025,404.4375329
110.136212,18.84172271,381.0864512
110.1804746,18.83895148,354.1526122
110.2247339,18.83615657,353.7913749
110.2689899,18.83333797,376.4096432
110.3132425,18.8304957,364.3115535
