lat,lon,storage_type,storage_potential,final_risk_score,pga_level,fault_lambda,amplification_method,pga_score,fault_score,site_vulnerability,analysis_type,risk_category,w1,w2,w3
48.8433944,125.0931862,DSA,33.46770096,3.286217548160624,10%,200.0,boore,0.9669767659588866,2.434966994028559,8.893205106793394,weight_sensitivity,Moderate,0.3,0.5,0.2
48.83463703,125.1594967,DSA,39.61059952,3.340751859577432,10%,200.0,boore,0.9386856263309684,2.490071200336889,9.070552857548485,weight_sensitivity,Moderate,0.3,0.5,0.2
48.82584936,125.225789,DSA,40.7057991,3.414845327149524,10%,200.0,boore,0.906841858625746,2.474592926184845,9.527481532346888,weight_sensitivity,Moderate,0.3,0.5,0.2
48.81703139,125.2920631,DSA,41.79430008,3.361592802123076,10%,200.0,boore,0.8787032511828525,2.400430428808051,9.488833061820973,weight_sensitivity,Moderate,0.3,0.5,0.2
48.80818314,125.3583189,DSA,24.30470085,3.5094203543554903,10%,200.0,boore,0.8500225238041821,2.508827194428471,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.79930462,125.4245563,DSA,15.97159958,3.474071171336484,10%,200.0,boore,0.8500225238041821,2.685927826237875,9.38050250538146,weight_sensitivity,Moderate,0.3,0.5,0.2
48.79039583,125.4907753,DSA,15.97159958,4.209598807487655,10%,200.0,boore,0.8157031210174709,3.929775742364829,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.78145678,125.5569758,DSA,15.97159958,4.536786874354932,10%,200.0,boore,0.7992959073772964,4.593996204283486,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.77248749,125.6231579,DSA,15.97159958,4.794412603136667,10%,200.0,boore,0.7944523645530055,5.11215378754153,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.76348796,125.6893213,DSA,15.97159958,4.960023852651806,10%,200.0,boore,0.7848432524597186,5.449141753827781,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.75445821,125.7554662,DSA,15.97159958,4.968386563338585,10%,200.0,boore,0.790774379937699,5.629685645708761,9.581557132514478,weight_sensitivity,Moderate,0.3,0.5,0.2
48.74539823,125.8215923,DSA,15.97159958,3.209358277222787,10%,200.0,boore,0.798767793294298,2.169586328727056,9.424673874354848,weight_sensitivity,Moderate,0.3,0.5,0.2
48.73630804,125.8876997,DSA,15.97159958,3.0856497318764715,10%,200.0,boore,0.806251697564613,2.177777087986669,8.774428393068765,weight_sensitivity,Moderate,0.3,0.5,0.2
48.72718766,125.9537884,DSA,15.97159958,3.0702811074744667,10%,200.0,boore,0.8272292338627556,2.185989702210391,8.645587431052222,weight_sensitivity,Moderate,0.3,0.5,0.2
48.71803708,126.0198582,DSA,15.97159958,3.1975153611697045,10%,200.0,boore,0.8359014122186753,2.1942291545316275,9.24815180119144,weight_sensitivity,Moderate,0.3,0.5,0.2
48.70885632,126.085909,DSA,15.97159958,3.3610551987604467,10%,200.0,boore,0.8660331119694984,2.202490530339194,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.69964539,126.151941,DSA,15.97159958,3.3693469155338116,10%,200.0,boore,0.879864488994968,2.2107751376706424,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.69040429,126.2179539,DSA,15.97159958,3.3826790693153983,10%,200.0,boore,0.9104567121450666,2.219084111343756,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.68113305,126.2839478,DSA,15.97159958,3.397161189867427,10%,200.0,boore,0.9448433572729996,2.227416365371054,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.67183166,126.3499226,DSA,15.97159958,3.412490047187428,10%,200.0,boore,0.9820122347786736,2.235772753507652,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.66250013,126.4158782,DSA,15.97159958,3.4304806798393748,10%,200.0,boore,1.0248276616576943,2.246064762684133,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.80833871,125.0136652,DSA,20.78039932,3.4554154118063365,10%,200.0,boore,1.0122819729630432,2.3957111677860468,9.769376180122,weight_sensitivity,Moderate,0.3,0.5,0.2
48.79961593,125.0799503,DSA,33.46770096,3.3302923256308645,10%,200.0,boore,0.989210236804456,2.4495476219610177,9.043777218045095,weight_sensitivity,Moderate,0.3,0.5,0.2
48.79086286,125.1462172,DSA,39.61059952,3.31704813897991,10%,200.0,boore,0.9572209050428808,2.4950825636793392,8.911702928136881,weight_sensitivity,Moderate,0.3,0.5,0.2
48.78207949,125.212466,DSA,40.7057991,3.352844880060344,10%,200.0,boore,0.9240586986011484,2.439874380599306,9.27845040090173,weight_sensitivity,Moderate,0.3,0.5,0.2
48.77326585,125.2786966,DSA,40.7057991,3.359333180266224,10%,200.0,boore,0.8953821520631483,2.3859038445661698,9.488833061820973,weight_sensitivity,Moderate,0.3,0.5,0.2
48.76442194,125.344909,DSA,41.79430008,3.4027748605306796,10%,200.0,boore,0.8685709025322395,2.3523536092194792,9.83013392580634,weight_sensitivity,Moderate,0.3,0.5,0.2
